,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_column_transformer__normalizer,param_column_transformer__scaler__n_quantiles,param_model__alpha,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,12.136528015136719,2.053951198006943,0.041219472885131836,0.004098834386587493,Normalizer(),10,0.01,"(20, 20)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (20, 20)}",0.9318293475093071,0.9292816606952439,0.9206607497798972,0.9272572526614827,0.0047789862750526645,10
1,14.589915672938028,3.6025283225527964,0.02858583132425944,0.00046643426371140373,Normalizer(),10,0.01,"(50, 50)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50, 50)}",0.9404912651713553,0.9372074420562718,0.934091658922947,0.9372634553835247,0.002612928517109883,1
2,7.7911670207977295,0.23454254151856915,0.023936907450358074,0.00162868956002092,Normalizer(),10,0.001,"(20, 20)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (20, 20)}",0.935396765962643,0.926031670784965,0.9164720637110481,0.9259668334862187,0.007726113371088211,12
3,12.164807558059692,0.15237416926564545,0.025923411051432293,0.0021518282266560326,Normalizer(),10,0.001,"(50, 50)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50, 50)}",0.940556316939702,0.9376892687613996,0.9322112746989988,0.9368189534667001,0.003461985849568717,5
4,7.774545510609944,0.06312597372745683,0.02593072255452474,0.002154167460214504,Normalizer(),100,0.01,"(20, 20)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (20, 20)}",0.9330156701012621,0.9259054153935331,0.9194009080259956,0.926107331173597,0.005560036815118378,11
5,12.229641278584799,0.02881344011362929,0.028256575266520183,0.0016849639673012908,Normalizer(),100,0.01,"(50, 50)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50, 50)}",0.9404547893923159,0.9388158845979869,0.9321140455034918,0.9371282398312649,0.003608149183789615,2
6,8.70971409479777,0.8177904791523585,0.03290915489196777,0.008577616935862769,Normalizer(),100,0.001,"(20, 20)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (20, 20)}",0.9276242654171285,0.9253648603758825,0.9173374092307476,0.9234421783412529,0.004414172795631253,16
7,12.288809935251871,0.2111098370379175,0.029585917790730793,0.004486112613829457,Normalizer(),100,0.001,"(50, 50)","{'column_transformer__normalizer': Normalizer(), 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50, 50)}",0.9407529000064943,0.9369411735742051,0.9330452399578475,0.936913104512849,0.00314670163404269,4
8,7.8928985595703125,0.23685905188041723,0.021276394526163738,0.0026240404151768658,passthrough,10,0.01,"(20, 20)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (20, 20)}",0.933950205997691,0.9240973257755098,0.9245071737648006,0.9275182351793338,0.004551166905291425,9
9,12.110486030578613,0.2420006951603648,0.021608750025431316,0.0004692919268200093,passthrough,10,0.01,"(50, 50)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50, 50)}",0.9349767479124883,0.9387660568904932,0.9337692074007172,0.935837337401233,0.0021287847718000773,7
10,8.228713194529215,0.436799829252899,0.022922674814860027,0.0013963051386597653,passthrough,10,0.001,"(20, 20)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (20, 20)}",0.9297011169216299,0.9287341798746235,0.914147932544114,0.9241944097801224,0.007114891446979167,14
11,12.05484422047933,0.3024131179327741,0.02427196502685547,0.002491327453322114,passthrough,10,0.001,"(50, 50)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 10, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50, 50)}",0.9405846707075857,0.9347022066484042,0.9298318043596168,0.935039560571869,0.004396315838409723,8
12,7.8141551812489825,0.17781932238093165,0.02027606964111328,0.00047543940722997226,passthrough,100,0.01,"(20, 20)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (20, 20)}",0.9248378123905711,0.9288298846260074,0.9173971660083249,0.9236882876749677,0.004737637882012017,15
13,11.996115922927856,0.33516712392006964,0.024266878763834637,0.002048364600786447,passthrough,100,0.01,"(50, 50)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50, 50)}",0.9430454385159223,0.9358440142096367,0.932462360081936,0.9371172709358316,0.004413333910101451,3
14,7.659521182378133,0.15314910715131522,0.023602724075317383,0.0018819413842722228,passthrough,100,0.001,"(20, 20)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (20, 20)}",0.9294660164447391,0.9227118910728584,0.9215687140371707,0.9245822071849229,0.00348476762481443,13
15,11.963008324305216,0.038842833912684956,0.025598684946695965,0.003290552981181739,passthrough,100,0.001,"(50, 50)","{'column_transformer__normalizer': 'passthrough', 'column_transformer__scaler__n_quantiles': 100, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50, 50)}",0.9380631911029085,0.9370570223505013,0.933150469824339,0.9360902277592497,0.002118918973829562,6
